No.1	 Depth:1	Wikipedia -> Sexual_content
No.10588	 Depth:2	Bloomberg_News -> Tehran
No.10589	 Depth:2	Bloomberg_News -> George_Polk_Awards
No.10590	 Depth:2	Bloomberg_News -> AllAfrica.com
No.10591	 Depth:2	Bloomberg_News -> London
No.10592	 Depth:2	Bloomberg_News -> Polska_Agencja_Prasowa
No.10593	 Depth:2	Bloomberg_News -> Buenos_Aires
No.10594	 Depth:2	Bloomberg_News -> Madrid
No.10595	 Depth:2	Bloomberg_News -> Bloomberg_L.P.
No.10596	 Depth:2	Bloomberg_News -> Lisbon
No.10597	 Depth:2	Bloomberg_News -> Agenzia_Fides
No.10598	 Depth:2	Bloomberg_News -> United_States_presidential_election,_2016
No.10599	 Depth:2	Bloomberg_News -> Interfax
No.10600	 Depth:2	Bloomberg_News -> Agencia_Boliviana_de_Informaci%C3%B3n
No.10601	 Depth:2	Bloomberg_News -> List_of_business_entities
No.10602	 Depth:2	Bloomberg_News -> Dow_Jones
No.10603	 Depth:2	Bloomberg_News -> Paywall
No.10604	 Depth:2	Bloomberg_News -> Hamburg
No.10605	 Depth:2	Bloomberg_News -> Bern
No.10606	 Depth:2	Bloomberg_News -> BNN_Bloomberg
No.10607	 Depth:2	Bloomberg_News -> DirectTV
No.10608	 Depth:2	Bloomberg_News -> Catalan_News_Agency
No.10609	 Depth:2	Bloomberg_News -> Bloomberg_View
No.10610	 Depth:2	Bloomberg_News -> Frankfurt,_Germany
No.10611	 Depth:2	Bloomberg_News -> Bloomberg_Beta
No.10612	 Depth:2	Bloomberg_News -> Seoul
No.10613	 Depth:2	Bloomberg_News -> New_York_City
No.10614	 Depth:1	Wikipedia -> New_Scientist
No.10615	 Depth:2	New_Scientist -> Scientific_American
No.10616	 Depth:2	New_Scientist -> Proceedings_of_the_National_Academy_of_Sciences_of_the_United_States_of_America
No.10617	 Depth:2	New_Scientist -> Pergamon_Press
No.10618	 Depth:2	New_Scientist -> Reaxys
No.10619	 Depth:2	New_Scientist -> Eurogamer
No.10620	 Depth:2	New_Scientist -> National_Hardware_Show
No.10621	 Depth:2	New_Scientist -> International_Publishing_Corporation
No.10622	 Depth:2	New_Scientist -> Medicine_Magazine
No.10623	 Depth:2	New_Scientist -> Pseudoscience
No.10624	 Depth:2	New_Scientist -> Charles_Darwin
No.10625	 Depth:2	New_Scientist -> Martindale-Hubbell
No.10626	 Depth:2	New_Scientist -> World_Travel_Market
No.10627	 Depth:2	New_Scientist -> Medicine_Publishing
No.10628	 Depth:2	New_Scientist -> American_Scientist
No.10629	 Depth:2	New_Scientist -> Quicklaw
No.10630	 Depth:2	New_Scientist -> Global_Gaming_Expo
No.10631	 Depth:2	New_Scientist -> Tetrahedron_(journal)
No.10632	 Depth:2	New_Scientist -> MIPCOM
No.10633	 Depth:2	New_Scientist -> Proceedings_of_the_Royal_Society
No.10634	 Depth:2	New_Scientist -> Phylogenetic_trees
No.10635	 Depth:2	New_Scientist -> Tom_Gauld
No.10636	 Depth:2	New_Scientist -> Evolution
No.10637	 Depth:2	New_Scientist -> Citizen_science
No.10638	 Depth:2	New_Scientist -> Churchill_Livingstone
No.10639	 Depth:2	New_Scientist -> MCM_London_Comic_Con
No.10640	 Depth:2	New_Scientist -> PAX_(event)
No.10641	 Depth:2	New_Scientist -> Embase
No.10642	 Depth:2	New_Scientist -> SmartPlanet
No.10643	 Depth:2	New_Scientist -> Lifehacker
No.10644	 Depth:2	New_Scientist -> ReadWrite
No.10645	 Depth:2	New_Scientist -> Nominative_determinism
No.10646	 Depth:2	New_Scientist -> Tom_Margerison
No.10647	 Depth:2	New_Scientist -> PC_Pro
No.10648	 Depth:2	New_Scientist -> Discover_(magazine)
No.10649	 Depth:2	New_Scientist -> IEEE_Spectrum
No.10650	 Depth:2	New_Scientist -> New_York_Comic_Con
No.10651	 Depth:2	New_Scientist -> Adobe_Reports_%26_Analytics
No.10652	 Depth:2	New_Scientist -> List_of_science_magazines
No.10653	 Depth:2	New_Scientist -> Elsevier_(magazine)
No.10654	 Depth:2	New_Scientist -> Astronomy_Now
No.10655	 Depth:2	New_Scientist -> IPC_Media
No.10656	 Depth:2	New_Scientist -> Law360
No.10657	 Depth:2	New_Scientist -> EGX_(expo)
No.10658	 Depth:2	New_Scientist -> Management_buyout
No.10659	 Depth:2	New_Scientist -> Biochimica_et_Biophysica_Acta
No.10660	 Depth:2	New_Scientist -> Slashdot
No.10661	 Depth:2	New_Scientist -> Shepard%27s_Citations
No.10662	 Depth:2	New_Scientist -> Science_(journal)
No.10663	 Depth:2	New_Scientist -> Cell_(journal)
No.10664	 Depth:2	New_Scientist -> Ei_Compendex
No.10665	 Depth:2	New_Scientist -> Grimbledon_Down
No.10666	 Depth:2	New_Scientist -> Conservation_of_momentum
No.10667	 Depth:2	New_Scientist -> The_Inquirer
No.10668	 Depth:2	New_Scientist -> TechCrunch
No.10669	 Depth:2	New_Scientist -> International_Standard_Serial_Number
No.10670	 Depth:2	New_Scientist -> Scientific_American_Mind
No.10671	 Depth:2	New_Scientist -> Mosby_(imprint)
No.10672	 Depth:2	New_Scientist -> Bernard_Dixon
No.10673	 Depth:2	New_Scientist -> Equitana
No.10674	 Depth:2	New_Scientist -> Computer_(magazine)
No.10675	 Depth:2	New_Scientist -> Geographical_(magazine)
No.10676	 Depth:2	New_Scientist -> Morgan_Kaufmann_Publishers
No.10677	 Depth:2	New_Scientist -> ScienceDirect
No.10678	 Depth:2	New_Scientist -> Computeractive
No.10679	 Depth:2	New_Scientist -> Kelly%27s_Directory
No.10680	 Depth:2	New_Scientist -> Twitter
No.10681	 Depth:2	New_Scientist -> Reed_Business_Information
No.10682	 Depth:2	New_Scientist -> Communications_of_the_ACM
No.10683	 Depth:2	New_Scientist -> Australasian_Science
No.10684	 Depth:2	New_Scientist -> Astronomy_(magazine)
No.10685	 Depth:2	New_Scientist -> Nature_(journal)
No.10686	 Depth:2	New_Scientist -> Simon_Ings
No.10687	 Depth:2	New_Scientist -> William_Andrew_(publisher)
No.10688	 Depth:2	New_Scientist -> The_Register
No.10689	 Depth:2	New_Scientist -> Cosmos_(Australian_magazine)
No.10690	 Depth:2	New_Scientist -> Saunders_(imprint)
No.10691	 Depth:2	New_Scientist -> PC_Magazine
No.10692	 Depth:2	New_Scientist -> Arabian_Travel_Market
No.10693	 Depth:2	New_Scientist -> Greg_Egan
No.10694	 Depth:2	New_Scientist -> CNET
No.10695	 Depth:2	New_Scientist -> PC_World
No.10696	 Depth:2	New_Scientist -> Ars_Technica
No.10697	 Depth:2	New_Scientist -> MIPIM
No.10698	 Depth:2	New_Scientist -> List_of_scientific_journals
No.10699	 Depth:2	New_Scientist -> Bill_Tidy
No.10700	 Depth:2	New_Scientist -> Intelligent_design
No.10701	 Depth:2	New_Scientist -> Astrobiology_Magazine
No.10702	 Depth:2	New_Scientist -> BookExpo_America
No.10703	 Depth:2	New_Scientist -> Reed_Exhibitions
No.10704	 Depth:2	New_Scientist -> National_Library_of_Australia
No.10705	 Depth:2	New_Scientist -> Academic_Press
No.10706	 Depth:2	New_Scientist -> RELX_Group
No.10707	 Depth:2	New_Scientist -> Mashable
No.10708	 Depth:2	New_Scientist -> Seed_(magazine)
No.10709	 Depth:2	New_Scientist -> CaseMap
No.10710	 Depth:2	New_Scientist -> Nigel_Calder
No.10711	 Depth:2	New_Scientist -> LexisNexis_Risk_Solutions
No.10712	 Depth:2	New_Scientist -> Google%2B
No.10713	 Depth:2	New_Scientist -> Penguin_Books
No.10714	 Depth:2	New_Scientist -> Alun_Anderson
No.10715	 Depth:2	New_Scientist -> Press_Gazette
No.10716	 Depth:2	New_Scientist -> Sky_%26_Telescope
No.10717	 Depth:2	New_Scientist -> GEOBASE
No.10718	 Depth:2	New_Scientist -> Social_Science_Research_Network
No.10719	 Depth:2	New_Scientist -> Oz_Comic_Con
No.10720	 Depth:2	New_Scientist -> London_Book_Fair
No.10721	 Depth:2	New_Scientist -> Michael_Kenward
No.10722	 Depth:2	New_Scientist -> Gizmodo
No.10723	 Depth:2	New_Scientist -> ClinicalKey
No.10724	 Depth:2	New_Scientist -> Mendeley
No.10725	 Depth:2	New_Scientist -> Fred_Pearce
No.10726	 Depth:2	New_Scientist -> Scopus
No.10727	 Depth:2	New_Scientist -> Emerald_City_Comic_Con
No.10728	 Depth:2	New_Scientist -> National_Geographic
No.10729	 Depth:2	New_Scientist -> Max_Raison
No.10730	 Depth:2	New_Scientist -> Australian_Geographic
No.10731	 Depth:2	New_Scientist -> Masson_(publisher)
No.10732	 Depth:2	New_Scientist -> Wired_(magazine)
No.10733	 Depth:2	New_Scientist -> HESI_exam
No.10734	 Depth:2	New_Scientist -> Facebook_likes
No.10735	 Depth:2	New_Scientist -> AlphaGalileo
No.10736	 Depth:2	New_Scientist -> Science_fiction
No.10737	 Depth:2	New_Scientist -> Butterworth-Heinemann
No.10738	 Depth:2	New_Scientist -> BBC_Wildlife
No.10739	 Depth:2	New_Scientist -> Flight_International
No.10740	 Depth:2	New_Scientist -> CMD_Group
No.10741	 Depth:2	New_Scientist -> International_Standard_Book_Number
No.10742	 Depth:2	New_Scientist -> Percy_Cudlipp
No.10743	 Depth:2	New_Scientist -> David_E._H._Jones
No.10744	 Depth:2	New_Scientist -> Reed_Elsevier
No.10745	 Depth:2	New_Scientist -> InformationWeek
No.10746	 Depth:2	New_Scientist -> Farmers_Weekly
No.10747	 Depth:2	New_Scientist -> British_English
No.10748	 Depth:2	New_Scientist -> Current_Opinion_(Elsevier)
No.10749	 Depth:2	New_Scientist -> MIT_Technology_Review
No.10750	 Depth:2	New_Scientist -> LexisNexis
No.10751	 Depth:2	New_Scientist -> Social_media
No.10752	 Depth:2	New_Scientist -> John_C._Baez
No.10753	 Depth:2	New_Scientist -> Jerry_Coyne
No.10754	 Depth:2	New_Scientist -> Engadget
No.10755	 Depth:2	New_Scientist -> BBC_Sky_at_Night
No.10756	 Depth:2	New_Scientist -> Richard_Dawkins
No.10757	 Depth:2	New_Scientist -> Popular_Mechanics
No.10758	 Depth:2	New_Scientist -> Roger_Highfield
No.10759	 Depth:2	New_Scientist -> Bernard_Gray
No.10760	 Depth:2	New_Scientist -> Marcus_Chown
No.10761	 Depth:2	New_Scientist -> BBC_Focus
No.10762	 Depth:2	New_Scientist -> Estates_Gazette
No.10763	 Depth:2	New_Scientist -> Rock,_Paper,_Shotgun
No.10764	 Depth:2	New_Scientist -> Popular_Science
No.10765	 Depth:2	New_Scientist -> Trends_(journals)
No.10766	 Depth:2	New_Scientist -> Chicago_Comic_%26_Entertainment_Expo
No.10767	 Depth:2	New_Scientist -> Elsevier
No.10768	 Depth:2	New_Scientist -> Canadian_Geographic
No.10769	 Depth:2	New_Scientist -> Emily_Wilson_(journalist)
No.10770	 Depth:2	New_Scientist -> Poultry_World
No.10771	 Depth:2	New_Scientist -> Woodhead_Publishing
No.10772	 Depth:2	New_Scientist -> Computer_Weekly
No.10773	 Depth:2	New_Scientist -> Science_News
No.10774	 Depth:2	New_Scientist -> EmDrive
No.10775	 Depth:2	New_Scientist -> Cell_Press
No.10776	 Depth:2	New_Scientist -> The_Lancet
No.10777	 Depth:2	New_Scientist -> P.Z._Myers
No.10778	 Depth:2	New_Scientist -> Wired_UK
No.10779	 Depth:2	New_Scientist -> The_Journal_of_Allergy_and_Clinical_Immunology
No.10780	 Depth:2	New_Scientist -> Computing_(magazine)
No.10781	 Depth:1	Wikipedia -> Western_Punjabi_Wikipedia
No.10782	 Depth:2	Western_Punjabi_Wikipedia -> Alemannic_Wikipedia
No.10783	 Depth:2	Western_Punjabi_Wikipedia -> Latvian_Wikipedia
No.10784	 Depth:2	Western_Punjabi_Wikipedia -> Turkish_Wikipedia
No.10785	 Depth:2	Western_Punjabi_Wikipedia -> Vietnamese_Wikipedia
No.10786	 Depth:2	Western_Punjabi_Wikipedia -> Bashkir_Wikipedia
No.10787	 Depth:2	Western_Punjabi_Wikipedia -> Wikimedia_Foundation
No.10788	 Depth:2	Western_Punjabi_Wikipedia -> Kabyle_Wikipedia
No.10789	 Depth:2	Western_Punjabi_Wikipedia -> Slovak_Wikipedia
No.10790	 Depth:2	Western_Punjabi_Wikipedia -> Minangkabau_Wikipedia
No.10791	 Depth:2	Western_Punjabi_Wikipedia -> Georgian_Wikipedia
No.10792	 Depth:2	Western_Punjabi_Wikipedia -> GFDL
No.10793	 Depth:2	Western_Punjabi_Wikipedia -> Romanian_Wikipedia
No.10794	 Depth:2	Western_Punjabi_Wikipedia -> Malayalam_Wikipedia
No.10795	 Depth:2	Western_Punjabi_Wikipedia -> Greek_Wikipedia
No.10796	 Depth:2	Western_Punjabi_Wikipedia -> Persian_Wikipedia
No.10797	 Depth:2	Western_Punjabi_Wikipedia -> Czech_Wikipedia
No.10798	 Depth:2	Western_Punjabi_Wikipedia -> Estonian_Wikipedia
No.10799	 Depth:2	Western_Punjabi_Wikipedia -> Southern_Azerbaijani_Wikipedia
No.10800	 Depth:2	Western_Punjabi_Wikipedia -> Belarusian_Wikipedia
No.10801	 Depth:2	Western_Punjabi_Wikipedia -> Scots_Wikipedia
No.10802	 Depth:2	Western_Punjabi_Wikipedia -> Tagalog_Wikipedia
No.10803	 Depth:2	Western_Punjabi_Wikipedia -> Croatian_Wikipedia
No.10804	 Depth:2	Western_Punjabi_Wikipedia -> List_of_Wikipedias
No.10805	 Depth:2	Western_Punjabi_Wikipedia -> Ludhiana
No.10806	 Depth:2	Western_Punjabi_Wikipedia -> Bavarian_Wikipedia
No.10807	 Depth:2	Western_Punjabi_Wikipedia -> Crimean_Tatar_Wikipedia
No.10808	 Depth:2	Western_Punjabi_Wikipedia -> Indonesian_Wikipedia
No.10809	 Depth:2	Western_Punjabi_Wikipedia -> Afrikaans_Wikipedia
No.10810	 Depth:2	Western_Punjabi_Wikipedia -> Hindi_Wikipedia
No.10811	 Depth:2	Western_Punjabi_Wikipedia -> Luxembourgish_Wikipedia
No.10812	 Depth:2	Western_Punjabi_Wikipedia -> Kannada_Wikipedia
No.10813	 Depth:2	Western_Punjabi_Wikipedia -> Yoruba_Wikipedia
No.10814	 Depth:2	Western_Punjabi_Wikipedia -> Pashto_Wikipedia
No.10815	 Depth:2	Western_Punjabi_Wikipedia -> Friulian_Wikipedia
No.10816	 Depth:2	Western_Punjabi_Wikipedia -> Aragonese_Wikipedia
No.10817	 Depth:2	Western_Punjabi_Wikipedia -> Bulgarian_Wikipedia
No.10818	 Depth:2	Western_Punjabi_Wikipedia -> Sinhalese_Wikipedia
No.10819	 Depth:2	Western_Punjabi_Wikipedia -> Serbian_Wikipedia
No.10820	 Depth:2	Western_Punjabi_Wikipedia -> Breton_Wikipedia
No.10821	 Depth:2	Western_Punjabi_Wikipedia -> Nepali_Wikipedia
No.10822	 Depth:2	Western_Punjabi_Wikipedia -> West_Frisian_Wikipedia
No.10823	 Depth:2	Western_Punjabi_Wikipedia -> Wikimedia_Incubator
No.10824	 Depth:2	Western_Punjabi_Wikipedia -> Amharic_Wikipedia
No.10825	 Depth:2	Western_Punjabi_Wikipedia -> Malagasy_Wikipedia
No.10826	 Depth:2	Western_Punjabi_Wikipedia -> Icelandic_Wikipedia
No.10827	 Depth:2	Western_Punjabi_Wikipedia -> Sindhi_Wikipedia
No.10828	 Depth:2	Western_Punjabi_Wikipedia -> Shona_Wikipedia
No.10829	 Depth:2	Western_Punjabi_Wikipedia -> Nepal_Bhasa_Wikipedia
No.10830	 Depth:2	Western_Punjabi_Wikipedia -> Occitan_Wikipedia
No.10831	 Depth:2	Western_Punjabi_Wikipedia -> Walloon_Wikipedia
No.10832	 Depth:2	Western_Punjabi_Wikipedia -> Neapolitan_Wikipedia
No.10833	 Depth:2	Western_Punjabi_Wikipedia -> Armenian_Wikipedia
No.10834	 Depth:2	Western_Punjabi_Wikipedia -> Yiddish_Wikipedia
No.10835	 Depth:2	Western_Punjabi_Wikipedia -> Bengali_Wikipedia
No.10836	 Depth:2	Western_Punjabi_Wikipedia -> Japanese_Wikipedia
No.10837	 Depth:2	Western_Punjabi_Wikipedia -> Serbo-Croatian_Wikipedia
No.10838	 Depth:2	Western_Punjabi_Wikipedia -> Slovene_Wikipedia
No.10839	 Depth:2	Western_Punjabi_Wikipedia -> Welsh_Wikipedia
No.10840	 Depth:2	Western_Punjabi_Wikipedia -> French_Wikipedia
No.10841	 Depth:2	Western_Punjabi_Wikipedia -> Assamese_Wikipedia
No.10842	 Depth:2	Western_Punjabi_Wikipedia -> Cantonese_Wikipedia
No.10843	 Depth:2	Western_Punjabi_Wikipedia -> Tulu_Wikipedia
No.10844	 Depth:2	Western_Punjabi_Wikipedia -> Chuvash_Wikipedia
No.10845	 Depth:2	Western_Punjabi_Wikipedia -> Old_Church_Slavonic_Wikipedia
No.10846	 Depth:2	Western_Punjabi_Wikipedia -> Danish_Wikipedia
No.10847	 Depth:2	Western_Punjabi_Wikipedia -> Patiala
No.10848	 Depth:2	Western_Punjabi_Wikipedia -> Silesian_Wikipedia
No.10849	 Depth:2	Western_Punjabi_Wikipedia -> Kashubian_Wikipedia
No.10850	 Depth:2	Western_Punjabi_Wikipedia -> Norwegian_Wikipedia
No.10851	 Depth:2	Western_Punjabi_Wikipedia -> Abkhazian_Wikipedia
No.10852	 Depth:2	Western_Punjabi_Wikipedia -> Zulu_Wikipedia
No.10853	 Depth:2	Western_Punjabi_Wikipedia -> Dutch_Wikipedia
No.10854	 Depth:2	Western_Punjabi_Wikipedia -> Kyrgyz_Wikipedia
No.10855	 Depth:2	Western_Punjabi_Wikipedia -> Gurmukhi
No.10856	 Depth:2	Western_Punjabi_Wikipedia -> Punjabi_language
No.10857	 Depth:2	Western_Punjabi_Wikipedia -> German_Wikipedia
No.10858	 Depth:2	Western_Punjabi_Wikipedia -> Portuguese_Wikipedia
No.10859	 Depth:2	Western_Punjabi_Wikipedia -> Catalan_Wikipedia
No.10860	 Depth:2	Western_Punjabi_Wikipedia -> Arabic_Wikipedia
No.10861	 Depth:2	Western_Punjabi_Wikipedia -> Russian_Wikipedia
No.10862	 Depth:2	Western_Punjabi_Wikipedia -> Basque_Wikipedia
No.10863	 Depth:2	Western_Punjabi_Wikipedia -> Uzbek_Wikipedia
No.10864	 Depth:2	Western_Punjabi_Wikipedia -> Low_Saxon_Wikipedia
No.10865	 Depth:2	Western_Punjabi_Wikipedia -> Extremaduran_Wikipedia
No.10866	 Depth:2	Western_Punjabi_Wikipedia -> Ripuarian_Wikipedia
No.10867	 Depth:2	Western_Punjabi_Wikipedia -> Kazakh_Wikipedia
No.10868	 Depth:2	Western_Punjabi_Wikipedia -> Burmese_Wikipedia
No.10869	 Depth:2	Western_Punjabi_Wikipedia -> Thai_Wikipedia
No.10870	 Depth:2	Western_Punjabi_Wikipedia -> Telugu_Wikipedia
No.10871	 Depth:2	Western_Punjabi_Wikipedia -> Fiji_Hindi_Wikipedia
No.10872	 Depth:2	Western_Punjabi_Wikipedia -> Chechen_Wikipedia
No.10873	 Depth:2	Western_Punjabi_Wikipedia -> Konkani_Wikipedia
No.10874	 Depth:2	Western_Punjabi_Wikipedia -> Volap%C3%BCk_Wikipedia
No.10875	 Depth:2	Western_Punjabi_Wikipedia -> Islamabad
No.10876	 Depth:2	Western_Punjabi_Wikipedia -> Quechua_Wikipedia
No.10877	 Depth:2	Western_Punjabi_Wikipedia -> Punjabi_Wikipedia
No.10878	 Depth:2	Western_Punjabi_Wikipedia -> Javanese_Wikipedia
No.10879	 Depth:2	Western_Punjabi_Wikipedia -> Venetian_Wikipedia
No.10880	 Depth:2	Western_Punjabi_Wikipedia -> Anwar_Masood
No.10881	 Depth:2	Western_Punjabi_Wikipedia -> Simple_English_Wikipedia
No.10882	 Depth:2	Western_Punjabi_Wikipedia -> Sundanese_Wikipedia
No.10883	 Depth:2	Western_Punjabi_Wikipedia -> Scottish_Gaelic_Wikipedia
No.10884	 Depth:2	Western_Punjabi_Wikipedia -> English_Wikipedia
No.10885	 Depth:2	Western_Punjabi_Wikipedia -> Azerbaijani_Wikipedia
No.10886	 Depth:2	Western_Punjabi_Wikipedia -> Piedmontese_Wikipedia
No.10887	 Depth:2	Western_Punjabi_Wikipedia -> Ukrainian_Wikipedia
No.10888	 Depth:2	Western_Punjabi_Wikipedia -> Esperanto_Wikipedia
No.10889	 Depth:2	Western_Punjabi_Wikipedia -> Ossetian_Wikipedia
No.10890	 Depth:2	Western_Punjabi_Wikipedia -> Shahmukhi
No.10891	 Depth:2	Western_Punjabi_Wikipedia -> Galician_Wikipedia
No.10892	 Depth:2	Western_Punjabi_Wikipedia -> Egyptian_Arabic_Wikipedia
No.10893	 Depth:2	Western_Punjabi_Wikipedia -> Karachay-Balkar_Wikipedia
No.10894	 Depth:2	Western_Punjabi_Wikipedia -> Xhosa_Wikipedia
No.10895	 Depth:2	Western_Punjabi_Wikipedia -> Tyvan_Wikipedia
No.10896	 Depth:2	Western_Punjabi_Wikipedia -> Samogitian_Wikipedia
No.10897	 Depth:2	Western_Punjabi_Wikipedia -> Internet_encyclopedia_project
No.10898	 Depth:2	Western_Punjabi_Wikipedia -> Bosnian_Wikipedia
No.10899	 Depth:2	Western_Punjabi_Wikipedia -> Divehi_Wikipedia
No.10900	 Depth:2	Western_Punjabi_Wikipedia -> Maori_Wikipedia
No.10901	 Depth:2	Western_Punjabi_Wikipedia -> Chinese_Wikipedia
No.10902	 Depth:2	Western_Punjabi_Wikipedia -> Italian_Wikipedia
No.10903	 Depth:2	Western_Punjabi_Wikipedia -> Tamil_Wikipedia
No.10904	 Depth:2	Western_Punjabi_Wikipedia -> Mongolian_Wikipedia
No.10905	 Depth:2	Western_Punjabi_Wikipedia -> Corsican_Wikipedia
No.10906	 Depth:2	Western_Punjabi_Wikipedia -> Lombard_Wikipedia
No.10907	 Depth:2	Western_Punjabi_Wikipedia -> Guarani_Wikipedia
No.10908	 Depth:2	Western_Punjabi_Wikipedia -> Uyghur_Wikipedia
No.10909	 Depth:2	Western_Punjabi_Wikipedia -> Tajik_Wikipedia
No.10910	 Depth:2	Western_Punjabi_Wikipedia -> Irish_Wikipedia
No.10911	 Depth:2	Western_Punjabi_Wikipedia -> Hebrew_Wikipedia
No.10912	 Depth:2	Western_Punjabi_Wikipedia -> Sanskrit_Wikipedia
No.10913	 Depth:2	Western_Punjabi_Wikipedia -> Norman_language
No.10914	 Depth:2	Western_Punjabi_Wikipedia -> Malay_Wikipedia
No.10915	 Depth:2	Western_Punjabi_Wikipedia -> Lezgian_Wikipedia
No.10916	 Depth:2	Western_Punjabi_Wikipedia -> Macedonian_Wikipedia
No.10917	 Depth:2	Western_Punjabi_Wikipedia -> Dutch_Low_Saxon_Wikipedia
No.10918	 Depth:2	Western_Punjabi_Wikipedia -> Sardinian_Wikipedia
No.10919	 Depth:2	Western_Punjabi_Wikipedia -> Odia_Wikipedia
No.10920	 Depth:2	Western_Punjabi_Wikipedia -> Cebuano_Wikipedia
No.10921	 Depth:2	Western_Punjabi_Wikipedia -> Sicilian_Wikipedia
No.10922	 Depth:2	Western_Punjabi_Wikipedia -> Wolof_Wikipedia
No.10923	 Depth:2	Western_Punjabi_Wikipedia -> Northern_Sami_Wikipedia
No.10924	 Depth:2	Western_Punjabi_Wikipedia -> Punjabi_University,_Patiala
No.10925	 Depth:2	Western_Punjabi_Wikipedia -> Komi-Permyak_Wikipedia
No.10926	 Depth:2	Western_Punjabi_Wikipedia -> Santali_Wikipedia
No.10927	 Depth:2	Western_Punjabi_Wikipedia -> Aramaic_Wikipedia
No.10928	 Depth:2	Western_Punjabi_Wikipedia -> Ido_Wikipedia
No.10929	 Depth:2	Western_Punjabi_Wikipedia -> Belarusian_(Tara%C5%A1kievica)_Wikipedia
No.10930	 Depth:2	Western_Punjabi_Wikipedia -> Hungarian_Wikipedia
No.10931	 Depth:2	Western_Punjabi_Wikipedia -> Albanian_Wikipedia
No.10932	 Depth:2	Western_Punjabi_Wikipedia -> Swahili_Wikipedia
No.10933	 Depth:2	Western_Punjabi_Wikipedia -> Korean_Wikipedia
No.10934	 Depth:2	Western_Punjabi_Wikipedia -> Swedish_Wikipedia
No.10935	 Depth:2	Western_Punjabi_Wikipedia -> Bambara_Wikipedia
No.10936	 Depth:2	Western_Punjabi_Wikipedia -> Hill_Mari_Wikipedia
No.10937	 Depth:2	Western_Punjabi_Wikipedia -> Asturian_Wikipedia
No.10938	 Depth:2	Western_Punjabi_Wikipedia -> Maltese_Wikipedia
No.10939	 Depth:2	Western_Punjabi_Wikipedia -> Faroese_Wikipedia
No.10940	 Depth:2	Western_Punjabi_Wikipedia -> Tribune_India
No.10941	 Depth:2	Western_Punjabi_Wikipedia -> Polish_Wikipedia
No.10942	 Depth:2	Western_Punjabi_Wikipedia -> Haitian_Creole_Wikipedia
No.10943	 Depth:2	Western_Punjabi_Wikipedia -> Registered_user
No.10944	 Depth:2	Western_Punjabi_Wikipedia -> Nahuatl_Wikipedia
No.10945	 Depth:2	Western_Punjabi_Wikipedia -> Gujarati_Wikipedia
No.10946	 Depth:2	Western_Punjabi_Wikipedia -> Southern_Min_Wikipedia
No.10947	 Depth:1	Wikipedia -> Internet_Watch_Foundation
No.10948	 Depth:2	Internet_Watch_Foundation -> Mark_Stephens_(solicitor)
No.10949	 Depth:2	Internet_Watch_Foundation -> The_Independent
No.10950	 Depth:2	Internet_Watch_Foundation -> Digital_object_identifier
No.10951	 Depth:2	Internet_Watch_Foundation -> TalkTalk_(telecommunications_company)
No.10952	 Depth:2	Internet_Watch_Foundation -> Alt.sex.stories
No.10953	 Depth:2	Internet_Watch_Foundation -> Software_provider
No.10954	 Depth:2	Internet_Watch_Foundation -> Charity_Commission_for_England_and_Wales
No.10955	 Depth:2	Internet_Watch_Foundation -> Scorpions_(band)
No.10956	 Depth:2	Internet_Watch_Foundation -> Protection_of_Children_Act_1978
No.10957	 Depth:2	Internet_Watch_Foundation -> Interpol
No.10958	 Depth:2	Internet_Watch_Foundation -> Internet_Service_Providers_Association
No.10959	 Depth:2	Internet_Watch_Foundation -> Peer-to-peer
No.10960	 Depth:2	Internet_Watch_Foundation -> Cambridgeshire
No.10961	 Depth:2	Internet_Watch_Foundation -> Ian_Taylor_(UK_politician)
No.10962	 Depth:2	Internet_Watch_Foundation -> Charity_Commission
No.10963	 Depth:2	Internet_Watch_Foundation -> Metropolitan_Police_Clubs_%26_Vice_Unit
No.10964	 Depth:2	Internet_Watch_Foundation -> Metropolitan_Police
No.10965	 Depth:2	Internet_Watch_Foundation -> Websites_blocked_in_the_United_Kingdom
No.10966	 Depth:2	Internet_Watch_Foundation -> Computer_hardware
No.10967	 Depth:2	Internet_Watch_Foundation -> National_Criminal_Intelligence_Service
No.10968	 Depth:2	Internet_Watch_Foundation -> Jurisdiction
No.10969	 Depth:2	Internet_Watch_Foundation -> England
No.10970	 Depth:2	Internet_Watch_Foundation -> Sexual_Offences_Act_2003
No.10971	 Depth:2	Internet_Watch_Foundation -> Association_of_Sites_Advocating_Child_Protection_(ASACP)
No.10972	 Depth:2	Internet_Watch_Foundation -> Megaupload
No.10973	 Depth:2	Internet_Watch_Foundation -> PlusNet
No.10974	 Depth:2	Internet_Watch_Foundation -> Dark_web
No.10975	 Depth:2	Internet_Watch_Foundation -> Sic
No.10976	 Depth:2	Internet_Watch_Foundation -> Newsgroup
No.10977	 Depth:2	Internet_Watch_Foundation -> Be_Unlimited
No.10978	 Depth:2	Internet_Watch_Foundation -> ZDnet
No.10979	 Depth:2	Internet_Watch_Foundation -> Mobile_phone_operators
No.10980	 Depth:2	Internet_Watch_Foundation -> Transparent_proxy
No.10981	 Depth:2	Internet_Watch_Foundation -> Internet_Archive
No.10982	 Depth:2	Internet_Watch_Foundation -> Office_of_Government_Commerce
